a,b,c,e,d,U,W
2.5,14,1.5,3,5,-10.71,4.0258426
2.5,14,2,1.7,2.5,-11.46,3.7544954
2.5,14,2,1.7,3.7,-11.29,3.8350367
2.5,14,2,1.7,5,-11.13,3.9222896
2.5,14,2,2.3,2.5,-11.17,3.8695543
2.5,14,2,2.3,3.7,-11.02,3.9500955
2.5,14,2,2.3,5,-10.87,4.0373485
2.5,14,2,3,2.5,-10.89,4.0037897
2.5,14,2,3,3.7,-10.74,4.0843309
2.5,14,2,3,5,-10.61,4.1715839
2.5,14,2.5,1.7,2.5,-11.32,3.9242073
2.5,14,2.5,1.7,3.7,-11.17,3.9932426
2.5,14,2.5,1.7,5,-11.04,4.0680309
2.5,14,2.5,2.3,2.5,-11.04,4.0392662
2.5,14,2.5,2.3,3.7,-10.9,4.1083015
2.5,14,2.5,2.3,5,-10.78,4.1830898
2.5,14,2.5,3,2.5,-10.77,4.1735015
2.5,14,2.5,3,3.7,-10.64,4.2425369
2.5,14,2.5,3,5,-10.51,4.3173251
